text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulati… https://t.co/RZRl0AGiWL,FALSE,1,NA,3/5/19 17:15,TRUE,NA,1.10298E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",FLHealthDuval,2,FALSE,FALSE,NA,NA,,,
My favorite tiny human gave me the stomach flu and MY GOD I am ready to fight a two year old,FALSE,0,NA,3/5/19 17:14,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kss_76,0,FALSE,FALSE,NA,NA,,,
@Talking_Thrones I just woke up 5 min ago and thought the same thing lol. Flu sucks. Was up till 6am,FALSE,0,Talking_Thrones,3/5/19 17:14,FALSE,1.10298E+18,1.10298E+18,7.99699E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",anydee,0,FALSE,FALSE,NA,NA,,,
"@angelaaamathers i am! just sometimes, the anxiety can’t be stopped. i also forgot to take my medication for 2 days… https://t.co/dyxLV5D5rR",FALSE,0,angelaaamathers,3/5/19 17:14,TRUE,1.10298E+18,1.10298E+18,347657285,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KristinaGrace78,0,FALSE,FALSE,NA,NA,,,
"It is a truth universally acknowledged, that a person on the mend from the flu is in want of pho with extra noodles.",FALSE,2,NA,3/5/19 17:14,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",khaslett,0,FALSE,FALSE,NA,NA,,,
JOB: Racine WI USA - RN Nurse for Wellness Screenings Flu Shots PRN - If you are a nurse phlebotomist me: If you ar… https://t.co/EQRh3DQvUu,FALSE,0,NA,3/5/19 17:13,TRUE,NA,1.10298E+18,NA,"<a href=\https://www.socialoomph.com\"" rel=\""nofollow\"">SocialOomph</a>""",KenoshaWIJobs,0,FALSE,FALSE,NA,NA,,,
I said I think I have the flu and this mans straight up asks me “why’d you get that” like I had a CHOICE,FALSE,3,NA,3/5/19 17:13,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JohnAddeo,0,FALSE,FALSE,NA,NA,,,
@ChrisJZullo https://t.co/le1r6yiQsJ. Scroll down for to why ppl still can get the flu despite getting the flu shot… https://t.co/k4iGWJ5MV2,FALSE,0,ChrisJZullo,3/5/19 17:12,TRUE,1.10296E+18,1.10298E+18,321774180,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",freerange4748,0,FALSE,FALSE,NA,NA,,,
Kudos to #SenBillCassidy at Senate hearing pointing out that flu shots -even if not 100% effective -#VaccinesWork l… https://t.co/extqKTOwvI,FALSE,0,NA,3/5/19 17:12,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",sallygreenberg,0,FALSE,FALSE,NA,NA,,,
"Me: Consistently gets flu shot
Also me: has flu",FALSE,0,NA,3/5/19 17:12,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Tfoges97,0,FALSE,FALSE,NA,NA,,,
"4,250% Increase in Fetal Deaths Reported to VAERS After Flu Shot Given to Pregnant Women https://t.co/2gx2yl9mwa",FALSE,0,NA,3/5/19 17:11,FALSE,NA,1.10298E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",CarolynRGoyda,0,FALSE,FALSE,NA,NA,,,
I'd add some scientists think we are on the verge of making a universal flu vaccine within the decade. https://t.co/FwY8pe58a5,FALSE,1,NA,3/5/19 17:11,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",OliverCash9,0,FALSE,FALSE,NA,NA,,,
"Is it a cold, or the flu? Learn how you can tell the difference: https://t.co/e66KK68YjO https://t.co/wrYBQnHQAy",FALSE,0,NA,3/5/19 17:11,FALSE,NA,1.10298E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",Hoosiersvaccin8,0,FALSE,FALSE,NA,NA,,,
"@jceastb I just got diagnosed with the flu this morning, so it might just be you.",FALSE,1,jceastb,3/5/19 17:10,FALSE,1.10298E+18,1.10298E+18,1.08724E+18,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Dingelle,0,FALSE,FALSE,NA,NA,,,
Why didn’t I get my flu shot kill me,FALSE,0,NA,3/5/19 17:10,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",howled,0,FALSE,FALSE,NA,NA,,,
Good Marketing is like the Flu… - https://t.co/c8satLq0yR,FALSE,0,NA,3/5/19 17:10,FALSE,NA,1.10298E+18,NA,"<a href=\http://www.themepatch.com\"" rel=\""nofollow\"">Twitter Updates Assistant</a>""",disabledsenior,0,FALSE,FALSE,NA,NA,,,
There’s still time to get your flu shot to avoid contracting the flu during peak season! https://t.co/GamMOXFCLP,FALSE,0,NA,3/5/19 17:10,FALSE,NA,1.10298E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",NHSPIndex,0,FALSE,FALSE,NA,NA,,,
