lon,lat
-75.1652215,39.9525839
-83.3527097,42.36837
-77.6088465,43.1565779
-119.4179324,36.778261
-95.9539139,36.0429739
174.885971,-40.900557
-83.9207392,35.9606384
-89.3985283,40.6331249
-84.2700179,37.8393332
-72.3009158,40.9378777
-81.5157535,27.6648274
-73.1964637,44.4778528
-74.0059728,40.7127753
-74.0059728,40.7127753
-84.2940899,34.0753762
-72.5578678,42.8509152
-86.7816016,36.1626638
-76.8966397,38.9340002
-88.3514596,41.6828074
-81.6943605,41.49932
-90.1994042,38.6270025
-104.990251,39.7392358
-88.7878678,43.7844397
-81.5157535,27.6648274
-77.555772,38.771177
-104.990251,39.7392358
-85.6680863,42.9633599
-79.0192997,35.7595731
-76.93776,38.9896967
-78.6381787,35.7795897
-76.6585074,39.4900013
-91.9623327,30.9842977
-91.8318334,37.9642529
-71.0588801,42.3600825
-85.6680863,42.9633599
-87.6297982,41.8781136
-73.087749,41.6032207
-73.9712488,40.7830603
-76.4921829,38.9784453
-72.6412013,42.3250896
-94.3613474,41.0586002
-82.0105148,33.4734978
-75.5138118,40.0362184
-119.4179324,36.778261
-80.1917902,25.7616798
-97.4253185,35.878937
-80.579511,35.4087517
-73.567256,45.5016889
-119.4179324,36.778261
-84.5085536,39.0836712
-99.9018131,31.9685988
-95.6751576,39.0473451
-82.907123,40.4172871
-76.6121893,39.2903848
-88.7503647,41.9294736
-73.134961,40.789142
-85.323214,51.253775
-74.0059728,40.7127753
133.775136,-25.274398
-79.1422464,37.4137536
-91.6656232,41.9778795
-84.2700179,37.8393332
-80.5764477,37.1317924
-86.8752869,40.4167022
133.775136,-25.274398
-82.9987942,39.9611755
-86.8103567,33.5185892
0.4690888,51.7343313
-78.8783689,42.8864468
-79.0192997,35.7595731
-74.0059728,40.7127753
-84.2132698,39.3708927
-88.0132958,44.5133188
-74.3473717,40.6589912
-83.7492084,41.7640537
-78.6381787,35.7795897
-76.1474244,43.0481221
-82.0906448,26.9761707
-75.0376707,39.8915022
-86.5804473,35.5174913
-95.712891,37.09024
-85.7584557,38.2526647
-79.0192997,35.7595731
-104.990251,39.7392358
-81.6943605,41.49932
-90.7867798,35.224533
-79.9414266,37.2709704
-77.297508,18.109581
-74.0059728,40.7127753
-74.0059728,40.7127753
-88.4153847,44.2619309
-74.2179326,43.2994285
-104.990251,39.7392358
-87.1788854,37.2011539
-74.0059728,40.7127753
-74.0431435,40.7177545
-73.1183397,41.6062042
-119.4179324,36.778261
-94.6858998,46.729553
-119.4179324,36.778261
-86.0419169,33.9548201
-81.2452768,42.9849233
-74.5596879,39.4928235
-73.6742323,40.7422572
-95.7243335,37.2321077
-77.0947092,38.984652
-76.985557,42.8679836
-82.907123,40.4172871
-95.712891,37.09024
-119.4179324,36.778261
-82.0190321,41.3894905
-84.3615555,34.0232431
-75.7981902,41.3305113
-85.3096801,35.0456297
-85.323214,51.253775
-85.323214,51.253775
-95.712891,37.09024
-74.0059728,40.7127753
-71.3700545,41.8137116
-75.5483909,39.744655
-78.8783689,42.8864468
-80.2683571,26.6617635
-84.4277001,33.6407282
-74.4173877,40.8652865
-77.1764149,38.7636242
-82.3264809,27.8661364
-75.1527928,40.0999077
-95.992775,36.1539816
-76.6121893,39.2903848
-104.8213634,38.8338816
-76.6412712,39.0457549
-71.0588801,42.3600825
-74.0059728,40.7127753
-80.1756481,33.0185039
-78.8783689,42.8864468
-71.0588801,42.3600825
-111.8910474,40.7607793
-94.6858998,46.729553
-91.6409721,35.769799
-104.990251,39.7392358
-119.4179324,36.778261
-84.3879824,33.7489954
-84.3879824,33.7489954
-76.8966397,38.9340002
-74.4056612,40.0583238
-79.7919754,36.0726354
-94.6858998,46.729553
-77.2716502,39.1731621
-95.9345034,41.2565369
-77.6088465,43.1565779
-99.9018131,31.9685988
-74.0059728,40.7127753
-84.3879824,33.7489954
-105.7820674,39.5500507
-84.3879824,33.7489954
-77.1945247,41.2033216
-77.0368707,38.9071923
-71.2689461,42.5584218
-87.5710898,37.9715592
-74.0059728,40.7127753
-84.2700179,37.8393332
-105.084423,40.5852602
-79.4922606,39.871742
-86.9080655,40.4258686
-73.9441579,40.6781784
-82.9000751,32.1656221
-79.289749,37.3637534
-86.7816016,36.1626638
-93.3702186,44.9597376
-81.5157535,27.6648274
-86.158068,39.768403
-81.1826527,42.7777214
-81.5157535,27.6648274
-73.087749,41.6032207
-74.0059728,40.7127753
-82.8001026,27.9658533
-84.2700179,37.8393332
-7.6920536,53.1423672
-74.0059728,40.7127753
-120.5542012,43.8041334
-112.0260538,41.1107771
-81.091203,32.0808989
-81.5157535,27.6648274
-74.0059728,40.7127753
-95.708315,36.4470387
-119.4179324,36.778261
-97.4107128,35.463494
-74.0059728,40.7127753
-74.0059728,40.7127753
-77.297508,18.109581
-77.0441143,35.108493
-84.528895,34.038741
-94.7696708,36.2667502
-95.4075459,29.6774067
-93.4168531,36.6333962
-82.9987942,39.9611755
-99.9018131,31.9685988
-119.4179324,36.778261
-88.314761,36.6103334
-83.357567,33.9519347
-76.2858726,36.8507689
-73.134961,40.789142
-73.9441579,40.6781784
-78.7811169,35.79154
-89.6962194,41.788642
-86.7816016,36.1626638
-90.1887379,41.8444735
-77.2002745,40.2010241
-63.5752387,44.6487635
-79.3831843,43.653226
-71.3824374,42.4072107
-74.0059728,40.7127753
-74.0059728,40.7127753
-79.881715,40.292292
-73.7845768,41.0050977
-71.5723953,43.1938516
-90.0489801,35.1495343
-84.2807329,30.4382559
-84.5037164,38.0405837
-77.0653565,38.9097057
-77.5877652,38.1979096
-94.6858998,46.729553
-99.9018131,31.9685988
-85.615517,38.345068
-89.0928155,30.3674198
-74.0059728,40.7127753
-73.8839627,40.7383258
-74.0059728,40.7127753
-77.0909809,38.8816208
-87.8003437,42.1816918
-79.0192997,35.7595731
-79.0192997,35.7595731
-81.3792365,28.5383355
-86.5804473,35.5174913
-81.5157535,27.6648274
-75.6971931,45.4215296
-81.8715019,36.1631817
-99.9018131,31.9685988
-79.4402808,43.8828401
-79.3831843,43.653226
-74.0059728,40.7127753
-96.7025955,40.813616
-88.4153847,44.2619309
-79.3831843,43.653226
-80.1917902,25.7616798
-93.0899578,44.9537029
-75.5276699,38.9108325
-89.3985283,40.6331249
-81.3792365,28.5383355
-105.5108312,39.9613759
-74.4056612,40.0583238
-84.2700179,37.8393332
-76.8502488,40.0017634
-88.7878678,43.7844397
-71.0588801,42.3600825
-79.0558445,35.9131996
-111.8910474,40.7607793
-116.419389,38.8026097
-76.6412712,39.0457549
-80.1917902,25.7616798
-81.3961338,30.2841224
-77.0368707,38.9071923
-81.3081226,28.6988853
-72.6506488,41.5623209
-73.134961,40.789142
-119.4179324,36.778261
-107.2902839,43.0759678
-88.0118473,41.7435073
-81.6943605,41.49932
-99.9018131,31.9685988
-78.8783689,42.8864468
-95.992371,36.1510981
-85.7584557,38.2526647
-83.6163423,42.9994718
-74.0059728,40.7127753
-99.9018131,31.9685988
-75.232664,43.100903
-120.7401385,47.7510741
-85.7584557,38.2526647
-83.7430378,42.2808256
-89.0928155,30.3674198
-87.9064736,43.0389025
-76.6121893,39.2903848
-112.1691254,36.0581204
-76.6412712,39.0457549
-86.6694413,35.9522852
-82.5306527,27.3364347
-82.907123,40.4172871
-86.8026123,33.4939473
-81.6943605,41.49932
-75.1652215,39.9525839
-74.0059728,40.7127753
-79.0716958,38.149576
-75.6971931,45.4215296
-93.8243923,41.7610984
-81.6943605,41.49932
-87.6297982,41.8781136
-80.8603868,32.2371465
-82.3940104,34.8526176
-90.1994042,38.6270025
-79.3831843,43.653226
-119.4179324,36.778261
-83.0100987,40.1983884
-104.8319195,39.7294319
-87.6297982,41.8781136
-88.0398912,30.6953657
-95.712891,37.09024
-74.0059728,40.7127753
-79.3831843,43.653226
-86.7816016,36.1626638
-82.9000751,32.1656221
-99.9018131,31.9685988
-81.5157535,27.6648274
-86.7816016,36.1626638
-84.3879824,33.7489954
-84.4277001,33.6407282
-84.5546822,34.0293789
-89.3985283,32.3546679
-84.4610394,35.6014636
-77.1945247,41.2033216
-80.8431267,35.2270869
-111.8389726,40.5649781
12.4963655,41.9027835
-77.6088465,43.1565779
-78.5097228,35.9798734
-117.9269481,33.7085616
-70.162651,18.735693
-84.3879824,33.7489954
-74.0059728,40.7127753
-98.4842465,39.011902
-95.992775,36.1539816
-90.4429881,38.5126456
-111.9738304,41.223
-99.9018131,41.4925374
-72.3378744,43.3728635
-74.0059728,40.7127753
-92.2670941,34.769536
-81.6943605,41.49932
-84.5120196,39.1031182
-74.4642861,40.554887
-73.6742323,40.7422572
-77.0368707,38.9071923
-82.6402915,27.7676008
-85.323214,51.253775
-81.1637245,33.836081
-70.620363,42.6556505
-79.0192997,35.7595731
-99.9018131,31.9685988
